          source           |     relationship     |          target           
 Francis Borgia            | Member Of            | Jesuits
 Francis Borgia            | Member Of            | Society
 Francis Bribard           | Employee Of          | cardinal de Pellay
 Franciscan                | Ally Of              | Kingdom of Naples
 Francis Cardinal Spellman | Leader Of            | Archdiocese of New York
 Francis Cardinal Spellman | Associate Of         | Franklin D. Roosevelt
 Francis Cardinal Spellman | Associate Of         | Lyndon B. Johnson
 Francis Cardinal Spellman | Associate Of         | Ngo Dinh Diem
 Francis Cardinal Spellman | Leader Of            | World War II
 Francisco de Borgia       | Associate Of         | Antonio Ghislieri
 Francisco de Borgia       | Associate Of         | Felipe II
 Francisco de Borgia       | Member Of            | Jesuits
 Francisco de Jasso y Azpi | Founder Of           | Society of Jesus
 Francis Collins           | Leader Of            | National Institutes of He
 Francisco Marto           | Sibling Of           | Jacinta Marto
 Francisco Pizarro         | Enemy Of             | Atahualpa
 Francis Corkery           | Leader Of            | Gonzaga University
 Francisco Xavier          | Employee Of          | Íñigo de Loyola
 Francisco Xavier          | Subordinate Of       | Íñigo de Loyola
 Francisco Xavier          | Founder Of           | Jesuits
 Francis D'Arcy Osborne    | Works For            | Vatican
 Francis de Sale           | Employee Of          | Catholic Church
 Francis de Sale           | Attended             | Lycée Louis-le-Grand
 Francis Duffield          | Member Of            | Hellfire Club
 Francis Gilman Blake      | Teacher Of           | Thomas Francis, Junior
 Francis Henry Bacon       | Leader Of            | Greek Assos excavation
 Francis Henry Bacon       | Sibling Of           | Henry Bacon, Jr.
 Francis I                 | Leader Of            | France
 Francis I                 | Parent Of            | Francis III
 Francis I                 | Parent Of            | Henri II
 Francis I                 | Superior Of          | Jean Maynier d´Oppède
 Francis I                 | Collaborator Of      | Leo X
 Francis II                | Child Of             | Henry II
 Francis II                | Supporter Of         | Jesuits
 Francis Joseph            | Interacted With      | revolution of 1848
 Francis Lowndes           | Lives In             | London
 Francis Matthews          | Leader Of            | Knights of Columbus
 Francis Matthews          | Employee Of          | United States
 Francis Matthews          | Employee Of          | U.S. Navy
 Francis Pope              | Employee Of          | Charles County
 Francis Pucci             | Member Of            | Diocese of Pittsburgh
 Francis Ruscetti          | Works For            | Fort Detrick
 Francis S. Collins        | Leader Of            | U.S. National Institutes 
 Francis Spellman          | Employer Of          | Edward Bernays
 Francis Spellman          | Supporter Of         | Ngo Dinh Diem
 Francis Spellman          | Leader Of            | Sovereign Order of the Kn
 Francis Thorpe            | Employee Of          | Henry Howard
 Francis Thorpe            | Collaborator Of      | John Carroll
 Francis Walsingham        | Leader Of            | British Royalists
 Francis Xavier            | Founder Of           | Jesuit Priests
 Francis Xavier            | Founder Of           | Jesuits
 Francis Xavier Becerra    | Member Of            | California Assembly
 Francis Xavier Becerra    | Superior Of          | Rachel Levine
 Francis Xavier Morgan     | Mentor Of            | Hilary Arthur Reuel Tolki
 Francis Xavier Morgan     | Mentor Of            | John Ronald Reuel Tolkien
 Francis X. Stankard       | Employee Of          | Chase Manhattan
 Francis X. Stankard       | Member Of            | Opus Dei
 Franco                    | Leader Of            | Civil War in Spain
 Franco                    | Friend Of            | Hitler
 Franco                    | Leader Of            | Spain
 Franco                    | Ally Of              | The Vatican
 Franco Di Bella           | Leader Of            | Corriere della Sera
 Franco Freda              | Lives In             | Padua
 Franco Giuseppucci        | Founder Of           | Banda della Magliana
 François                  | Sibling Of           | Marie de Brinvilliers
 François Baroin           | Lives In             | Troyes
 Francois Borelli          | Lives In             | Toulouse
 François Charles-Roux     | Works For            | Vatican
 François Charles-Roux     | Employee Of          | Vatican
 François de Baradas       | Subordinate Of       | Louis
 François de la Chaise     | Associate Of         | Louis
 François de la Chaize     | Member Of            | Jesuits
 François de la Chaize     | Employer Of          | Louis XIV
 François de Lorraine, 2nd | Parent Of            | Henri, duc de Guise
 François, Duke of Guise   | Sibling Of           | Charles of Lorraine
 François, Duke of Guise   | Child Of             | Claudius
 François, Duke of Guise   | Spouse Of            | Francis II
 Françoise-Athénaïs de Roc | Partner Of           | Sun King
 Françoise Charles-Roux    | Works For            | France
 Françoise Charles-Roux    | Works For            | Vatican
 Francois Ferrer           | Member Of            | Dominicans
 Francois Granet           | Employee Of          | Geneva
 François Hotman           | Lives In             | Switzerland
 François I                | Parent Of            | Henri II
 François I                | Opponent Of          | Sorbonne
 François II               | Sibling Of           | Charles IX
 François II               | Spouse Of            | Mary
 François II               | Spouse Of            | Mary Stuart
 François-Marie Arouet     | Critic Of            | Catholic Church
 François-Marie Arouet     | Member Of            | Jesuits
 François-Marie Arouet     | Teacher Of           | Lycée Louis-le-Grand
 François Mariette         | Collaborator Of      | Adam du Coeuret
 François Mariette         | Works For            | Church of Saint-Séverin
 François-Michel le Tellie | Parent Of            | Michel Le Tellier
 François “Papa Doc” Duval | Leader Of            | Haiti
 François Ravaillac        | Enemy Of             | Henri IV.
 François Ravaillac        | Enemy Of             | Henry of Navarre
 Franjo Pipinic            | Collaborator Of      | Peranovic
 Franjo Pipinic            | Lives In             | Pozega
 Frank                     | Parent Of            | Michael Smith
 Frank                     | Lives In             | Poland
 Frank Bajak               | Employee Of          | The San Diego Union-Tribu
 Frank Benton Kelso II     | Spouse Of            | Georgia Robinson
 Frank Benton Kelso II     | Spouse Of            | Landess
 Frank Borman              | Member Of            | Order of DeMolay
 Frank Bovenkerk           | Employer Of          | Milo Books
 Frank Bovenkerk           | Colleague Of         | Yucel Yesilgoz
 Frank Brennan             | Employee Of          | Australian Catholic Unive
 Frank Coletta             | Works For            | Daily Mail
 Frank Costello            | Interacted With      | mob gathering at the Gran
 Frank Gaffney             | Member Of            | Center for Security Polic
 Frank Gaffney             | Founder Of           | Center for Security Polic
 Frank Gallagher           | Employee Of          | Henry Kissinger
 Frank K. Shuttleworth     | Employee Of          | Institute of Child Welfar
 Frank Langella            | Associate Of         | Clare Quilty
 Franklin                  | Member Of            | Order of the Quest
 Franklin                  | Member Of            | Royal Society
 Franklin                  | Friend Of            | The Professor
 Franklin                  | Lives In             | Venango County
 Franklin G. Miller        | Colleague Of         | New England Journal of Me
 Franklin National         | Lives In             | Franklin Square
 Franklin Pierce           | Superior Of          | Jefferson Davis
 Franklin Roosevelt        | Founder Of           | American biological warfa
 Franklin Roosevelt        | Cousin Of            | Anna Eleanor Roosevelt
 Franklin Roosevelt        | Spouse Of            | Anna Eleanor Roosevelt
 Franklin Roosevelt        | Founder Of           | Franklin Roosevelt’s Japa
 Franklin Roosevelt        | Associate Of         | Joe Senior
 Franklin Roosevelt        | Employer Of          | Thomas Parran, Jr.
 Frank Little              | Associate Of         | Kevin O’Donnell
 Frank Morales             | Works For            | CounterVortex
